Dates,Step Count
9.01.2020,2856
10.01.2020,3764
11.01.2020,5915
12.01.2020,2454
13.01.2020,2035
14.01.2020,1931
15.01.2020,2395
16.01.2020,998
17.01.2020,6986
18.01.2020,6764
19.01.2020,6295
20.01.2020,11737
21.01.2020,7767
22.01.2020,10636
23.01.2020,25274
24.01.2020,15631
25.01.2020,8432
26.01.2020,6589
27.01.2020,2927
28.01.2020,9836
29.01.2020,10335
30.01.2020,6503
31.01.2020,4296
1.02.2020,2064
2.02.2020,4591
3.02.2020,3370
4.02.2020,1781
5.02.2020,1094
6.02.2020,8086
7.02.2020,3564
8.02.2020,5316
9.02.2020,2365
10.02.2020,2747
11.02.2020,3063
12.02.2020,2281
13.02.2020,2242
14.02.2020,3381
15.02.2020,8723
16.02.2020,3803
17.02.2020,1389
18.02.2020,1619
19.02.2020,3540
20.02.2020,2258
21.02.2020,4118
22.02.2020,6412
23.02.2020,672
24.02.2020,2288
25.02.2020,2119
26.02.2020,1721
27.02.2020,1869
28.02.2020,2712
29.02.2020,3690
1.03.2020,554
2.03.2020,2639
3.03.2020,5220
4.03.2020,2088
5.03.2020,2008
6.03.2020,1843
7.03.2020,6208
8.03.2020,4667
9.03.2020,2762
10.03.2020,1532
11.03.2020,1618
12.03.2020,5042
13.03.2020,6091
14.03.2020,3574
15.03.2020,1562
16.03.2020,601
17.03.2020,1053
18.03.2020,608
19.03.2020,2562
20.03.2020,249
21.03.2020,8418
22.03.2020,518
23.03.2020,478
24.03.2020,235
25.03.2020,1933
26.03.2020,7672
27.03.2020,4845
28.03.2020,490
29.03.2020,6322
30.03.2020,441
31.03.2020,533
1.04.2020,2070
2.04.2020,1976
3.04.2020,371
4.04.2020,574
5.04.2020,385
6.04.2020,432
7.04.2020,320
8.04.2020,764
9.04.2020,3384
10.04.2020,747
11.04.2020,592
12.04.2020,428
13.04.2020,4578
14.04.2020,1673
15.04.2020,575
16.04.2020,580
17.04.2020,830
18.04.2020,399
19.04.2020,617
20.04.2020,1762
21.04.2020,474
22.04.2020,721
23.04.2020,484
24.04.2020,427
25.04.2020,4301
26.04.2020,3206
27.04.2020,966
28.04.2020,489
29.04.2020,650
30.04.2020,775
1.05.2020,3358
2.05.2020,392
3.05.2020,588
4.05.2020,426
5.05.2020,5554
6.05.2020,1763
7.05.2020,1138
8.05.2020,390
9.05.2020,537
10.05.2020,1431
11.05.2020,369.38
12.05.2020,319
13.05.2020,2737
14.05.2020,597
15.05.2020,3526
16.05.2020,1162
17.05.2020,694
18.05.2020,848
19.05.2020,2248
20.05.2020,1111
21.05.2020,3513
22.05.2020,5032
23.05.2020,628
24.05.2020,5694
25.05.2020,650
26.05.2020,595
27.05.2020,3976
28.05.2020,411
29.05.2020,6237
30.05.2020,2709
31.05.2020,637
1.06.2020,421
2.06.2020,1084
3.06.2020,6341
4.06.2020,1474
5.06.2020,8967
6.06.2020,5774
7.06.2020,954
8.06.2020,3728
9.06.2020,9536
10.06.2020,9132
11.06.2020,1822
12.06.2020,18303
13.06.2020,11954
14.06.2020,11697
15.06.2020,5013
16.06.2020,11840
17.06.2020,12990
18.06.2020,4839
19.06.2020,3603
20.06.2020,3048
21.06.2020,4280
22.06.2020,1970
23.06.2020,458
24.06.2020,3611
25.06.2020,2105
26.06.2020,12123
27.06.2020,905.58
28.06.2020,5388
29.06.2020,4621
30.06.2020,3710
1.07.2020,8118
2.07.2020,5745
3.07.2020,1436
4.07.2020,3689
5.07.2020,3440
6.07.2020,1799
7.07.2020,4005
8.07.2020,8702
9.07.2020,3688
10.07.2020,3603
11.07.2020,1869
12.07.2020,5266
13.07.2020,5601
14.07.2020,5725
15.07.2020,6135
16.07.2020,7623
17.07.2020,3651
18.07.2020,4455
19.07.2020,5614
20.07.2020,6007
21.07.2020,6539
22.07.2020,4333
23.07.2020,6721
24.07.2020,2215
25.07.2020,1043
26.07.2020,4840
27.07.2020,2803
28.07.2020,4001
29.07.2020,5143
30.07.2020,3517
31.07.2020,5017
1.08.2020,2208
2.08.2020,2681
3.08.2020,1250
4.08.2020,4637
5.08.2020,3853
6.08.2020,445
7.08.2020,1794
8.08.2020,189
9.08.2020,894
10.08.2020,6304
11.08.2020,1794
12.08.2020,2357
13.08.2020,346
14.08.2020,1387
15.08.2020,4243
16.08.2020,523
17.08.2020,155
18.08.2020,327
19.08.2020,590
20.08.2020,2514
21.08.2020,574
22.08.2020,4339
23.08.2020,1363
24.08.2020,282
25.08.2020,573
26.08.2020,1791
27.08.2020,574
28.08.2020,644
29.08.2020,6455
30.08.2020,2238
31.08.2020,1990
1.09.2020,1890
2.09.2020,2659
3.09.2020,553
4.09.2020,2210
5.09.2020,2122
6.09.2020,1384
7.09.2020,1601
8.09.2020,2467
9.09.2020,1904
10.09.2020,1833
11.09.2020,2805
12.09.2020,437
13.09.2020,478
14.09.2020,461
15.09.2020,1016
16.09.2020,575
17.09.2020,1691
18.09.2020,1075
19.09.2020,3278
20.09.2020,2038
21.09.2020,1561
22.09.2020,1697
23.09.2020,1938
24.09.2020,1550
25.09.2020,3021
26.09.2020,6175
27.09.2020,5851
28.09.2020,2504
29.09.2020,1724
30.09.2020,2314
1.10.2020,1866
2.10.2020,5391
3.10.2020,4434
4.10.2020,486
5.10.2020,3741
6.10.2020,1681
7.10.2020,1617
8.10.2020,2078
9.10.2020,4808
10.10.2020,806.4
11.10.2020,1207
12.10.2020,2235
13.10.2020,3505
14.10.2020,2364
15.10.2020,2365
16.10.2020,3942
17.10.2020,1556
18.10.2020,2611
19.10.2020,230
20.10.2020,1544
21.10.2020,1920
22.10.2020,2089
23.10.2020,2998
24.10.2020,5203
25.10.2020,679
26.10.2020,1558
27.10.2020,2556
28.10.2020,13980
29.10.2020,219
30.10.2020,2068
31.10.2020,2912
1.11.2020,365
2.11.2020,1784
3.11.2020,1816
4.11.2020,1772
5.11.2020,1742
6.11.2020,4776
7.11.2020,1650
8.11.2020,294
9.11.2020,1516
10.11.2020,2389
11.11.2020,1929
12.11.2020,1472
13.11.2020,3220
14.11.2020,12711
15.11.2020,441
16.11.2020,579
17.11.2020,1281
18.11.2020,1033
19.11.2020,1067
20.11.2020,3097
21.11.2020,453
22.11.2020,716
23.11.2020,536
24.11.2020,1762
25.11.2020,337
26.11.2020,615
27.11.2020,1424
28.11.2020,3287
29.11.2020,1265
30.11.2020,347
1.12.2020,331
2.12.2020,261
3.12.2020,275
4.12.2020,3183
5.12.2020,2147
6.12.2020,1581
7.12.2020,1101
8.12.2020,549
9.12.2020,743
10.12.2020,538
11.12.2020,1296
12.12.2020,1867
13.12.2020,1942
14.12.2020,1678
15.12.2020,1788
16.12.2020,11128
17.12.2020,1778
18.12.2020,3130
19.12.2020,3935
20.12.2020,2930
21.12.2020,1979
22.12.2020,3215
23.12.2020,3936
24.12.2020,1900
25.12.2020,4958
26.12.2020,4838
27.12.2020,1524
28.12.2020,1834
29.12.2020,1699
30.12.2020,1515
31.12.2020,3637
1.01.2021,8770
2.01.2021,2605
3.01.2021,945
4.01.2021,6985
5.01.2021,2397
6.01.2021,2812
7.01.2021,2106
8.01.2021,8832
9.01.2021,1901
10.01.2021,2784
11.01.2021,1974
12.01.2021,2399
13.01.2021,3664
14.01.2021,3348
15.01.2021,2778
16.01.2021,2595
17.01.2021,1590
18.01.2021,2350
19.01.2021,2434
20.01.2021,2519
21.01.2021,3082
22.01.2021,9692
23.01.2021,3001
24.01.2021,2700
25.01.2021,3332
26.01.2021,1776
27.01.2021,191
28.01.2021,344
29.01.2021,1283
30.01.2021,432
31.01.2021,1931
1.02.2021,3712
2.02.2021,4451
3.02.2021,69
4.02.2021,1616
5.02.2021,3053
6.02.2021,38
7.02.2021,4037
8.02.2021,4378
9.02.2021,1201
10.02.2021,3305
11.02.2021,3887
12.02.2021,3773
13.02.2021,90
14.02.2021,99
15.02.2021,3132
16.02.2021,4043
17.02.2021,3221
18.02.2021,4712
19.02.2021,4507
20.02.2021,163
21.02.2021,379
22.02.2021,4740
23.02.2021,4137
24.02.2021,4359
25.02.2021,3617
26.02.2021,7414
27.02.2021,383
28.02.2021,3616
1.03.2021,2685
2.03.2021,4306
3.03.2021,3796
4.03.2021,4583
5.03.2021,3770
6.03.2021,1475
7.03.2021,3355
8.03.2021,4272
9.03.2021,3663
10.03.2021,5282
11.03.2021,5721
12.03.2021,8768
13.03.2021,4557
14.03.2021,163
15.03.2021,1228
16.03.2021,5201
17.03.2021,3246
18.03.2021,3703
19.03.2021,4936
20.03.2021,2106
21.03.2021,120
22.03.2021,4987
23.03.2021,3530
24.03.2021,83
25.03.2021,3354
26.03.2021,3574
27.03.2021,1239
28.03.2021,32
29.03.2021,4634
30.03.2021,3459
31.03.2021,3637
1.04.2021,4053
2.04.2021,1698
3.04.2021,1034
4.04.2021,1183
5.04.2021,3828
6.04.2021,4273
7.04.2021,2659
8.04.2021,3625
9.04.2021,6637
10.04.2021,288
11.04.2021,2605
12.04.2021,3453
13.04.2021,2862
14.04.2021,1917
15.04.2021,3368
16.04.2021,5291
17.04.2021,157
18.04.2021,5323
19.04.2021,3712
20.04.2021,1135
21.04.2021,3536
22.04.2021,3888
23.04.2021,1393
24.04.2021,2366
25.04.2021,243
26.04.2021,2573
27.04.2021,3946
28.04.2021,4583
29.04.2021,1489
30.04.2021,1911
1.05.2021,361
2.05.2021,1262
3.05.2021,55
4.05.2021,415
6.05.2021,1512
7.05.2021,1232
8.05.2021,487
9.05.2021,1054
10.05.2021,1602
11.05.2021,926
12.05.2021,541
13.05.2021,1444
14.05.2021,272
15.05.2021,2925
16.05.2021,179
17.05.2021,3762
18.05.2021,1036
19.05.2021,3146
20.05.2021,2176
21.05.2021,404
22.05.2021,1483
23.05.2021,1957
24.05.2021,1636
25.05.2021,3051
26.05.2021,2479
27.05.2021,1456
28.05.2021,190
29.05.2021,741
30.05.2021,1111
31.05.2021,1834
1.06.2021,1746
2.06.2021,1665
3.06.2021,4791
4.06.2021,2145
5.06.2021,1174
6.06.2021,791.47
7.06.2021,2885
8.06.2021,2318
9.06.2021,516
10.06.2021,1324
11.06.2021,1314
12.06.2021,6542
13.06.2021,3480
14.06.2021,4584
15.06.2021,1731
16.06.2021,6640
17.06.2021,1790
18.06.2021,1373
19.06.2021,2175
20.06.2021,3232
21.06.2021,9150
22.06.2021,2787
23.06.2021,6729
24.06.2021,3467
25.06.2021,5317
26.06.2021,3830
27.06.2021,4861
28.06.2021,11249
29.06.2021,3515
30.06.2021,3401
1.07.2021,5621
2.07.2021,11038
3.07.2021,4254
4.07.2021,5323
5.07.2021,7664
6.07.2021,3573
7.07.2021,6961
8.07.2021,4951
9.07.2021,3194
10.07.2021,1436
11.07.2021,3485
12.07.2021,3876
13.07.2021,10323
14.07.2021,3610
15.07.2021,4831
16.07.2021,2964
17.07.2021,7394
18.07.2021,7934
19.07.2021,4248
20.07.2021,1429
21.07.2021,4163
22.07.2021,6464
23.07.2021,2248
24.07.2021,2601
25.07.2021,3465
26.07.2021,3451
27.07.2021,5671
28.07.2021,10028
29.07.2021,3819
30.07.2021,8818
31.07.2021,2559
1.08.2021,9129
2.08.2021,5111
3.08.2021,188
4.08.2021,4428
5.08.2021,4272
6.08.2021,3083
7.08.2021,6111
8.08.2021,2743
9.08.2021,4145
10.08.2021,1243
11.08.2021,1398
12.08.2021,3069
13.08.2021,5701
14.08.2021,1925
15.08.2021,380
16.08.2021,7939
17.08.2021,5504
18.08.2021,1809
19.08.2021,10447
20.08.2021,1679
21.08.2021,7105
22.08.2021,7857
23.08.2021,5816
24.08.2021,2634
25.08.2021,5635
26.08.2021,2342
27.08.2021,2750
28.08.2021,6540
29.08.2021,9875
30.08.2021,5086
31.08.2021,10840
1.09.2021,16253
2.09.2021,3630
3.09.2021,6380
4.09.2021,3082
5.09.2021,7933
6.09.2021,958
7.09.2021,286
8.09.2021,789
9.09.2021,3893
10.09.2021,4780
11.09.2021,1125
12.09.2021,1154
13.09.2021,5078
14.09.2021,16727
15.09.2021,1360
16.09.2021,2477
17.09.2021,5651
18.09.2021,7637
19.09.2021,3223
20.09.2021,6313
21.09.2021,1707
22.09.2021,424
23.09.2021,9839
24.09.2021,12250
25.09.2021,9672
26.09.2021,9666
27.09.2021,12417
28.09.2021,4295
29.09.2021,5504
30.09.2021,8083
1.10.2021,5568
2.10.2021,9942
3.10.2021,7170
4.10.2021,5451
5.10.2021,872
6.10.2021,9041
7.10.2021,2745
8.10.2021,1688
9.10.2021,12182
10.10.2021,2365
11.10.2021,8537
12.10.2021,9627
13.10.2021,10760
14.10.2021,6769
15.10.2021,7351
16.10.2021,13894
17.10.2021,6724
18.10.2021,8432
19.10.2021,19791
20.10.2021,14005
21.10.2021,11352
22.10.2021,16639
23.10.2021,13858
24.10.2021,4215
25.10.2021,4666
26.10.2021,5980
27.10.2021,7384
28.10.2021,5748
29.10.2021,6589
30.10.2021,10119
31.10.2021,11725
1.11.2021,3616
2.11.2021,8030
3.11.2021,8654
4.11.2021,2595
5.11.2021,4478
6.11.2021,10148
7.11.2021,2271
8.11.2021,2644
9.11.2021,6286
10.11.2021,9681
11.11.2021,4426
12.11.2021,6144
13.11.2021,9377
14.11.2021,9249
15.11.2021,3678
16.11.2021,1972
17.11.2021,12303
18.11.2021,5387
19.11.2021,3423
20.11.2021,4535
21.11.2021,8710
22.11.2021,6574
23.11.2021,2143
24.11.2021,3177
25.11.2021,2569
26.11.2021,1966
27.11.2021,13383
28.11.2021,1302
29.11.2021,4258
30.11.2021,5384
1.12.2021,16480
2.12.2021,4206
3.12.2021,8929
4.12.2021,14652
5.12.2021,2679
6.12.2021,334
7.12.2021,387
8.12.2021,3931
9.12.2021,663
10.12.2021,364
11.12.2021,7420
12.12.2021,479
13.12.2021,4356
14.12.2021,2726
15.12.2021,13281
16.12.2021,3159
17.12.2021,6762
18.12.2021,4507
19.12.2021,4213
20.12.2021,4652
21.12.2021,1748
22.12.2021,8134
23.12.2021,1585
24.12.2021,2222
25.12.2021,14552
26.12.2021,6543
27.12.2021,6459
28.12.2021,4405
29.12.2021,3079
30.12.2021,6280
31.12.2021,970.29
1.01.2022,4603
2.01.2022,623
3.01.2022,110
4.01.2022,158
5.01.2022,214
6.01.2022,337
7.01.2022,9122
8.01.2022,2137
9.01.2022,348.95
10.01.2022,363
11.01.2022,549
12.01.2022,4154
13.01.2022,510
14.01.2022,6811
15.01.2022,2003
16.01.2022,1874
17.01.2022,282
18.01.2022,6428
19.01.2022,5879
20.01.2022,4547
21.01.2022,6287
22.01.2022,4344
23.01.2022,2477
24.01.2022,8773
25.01.2022,7602
26.01.2022,4953
27.01.2022,658
28.01.2022,4195
29.01.2022,6927
30.01.2022,682.23
31.01.2022,1492
1.02.2022,669
2.02.2022,564
3.02.2022,41
4.02.2022,1295
5.02.2022,56
6.02.2022,38
7.02.2022,36
8.02.2022,86
9.02.2022,67
10.02.2022,125
11.02.2022,160
12.02.2022,278
13.02.2022,1714
14.02.2022,1149
15.02.2022,1015
16.02.2022,647
17.02.2022,4280
18.02.2022,11168
19.02.2022,7206
20.02.2022,2778
21.02.2022,10038
22.02.2022,6134
23.02.2022,9374
24.02.2022,12776
25.02.2022,2974
26.02.2022,613
27.02.2022,4486
28.02.2022,8236
1.03.2022,4338
2.03.2022,1306
3.03.2022,3541
4.03.2022,6508
5.03.2022,8855
6.03.2022,3418
7.03.2022,6256
8.03.2022,2163
9.03.2022,2406
10.03.2022,62
11.03.2022,466
12.03.2022,2477
13.03.2022,1522
14.03.2022,6593
15.03.2022,3674
16.03.2022,2673
17.03.2022,2381
18.03.2022,8732
19.03.2022,4895
20.03.2022,5115
21.03.2022,8094
22.03.2022,1253
23.03.2022,3241
24.03.2022,4112
25.03.2022,4051
26.03.2022,5438
27.03.2022,18342
28.03.2022,7945
29.03.2022,5495
30.03.2022,9522
31.03.2022,1025
1.04.2022,14356
2.04.2022,15260
3.04.2022,15485
4.04.2022,4933
5.04.2022,5528
6.04.2022,4433
7.04.2022,2877
8.04.2022,3385
9.04.2022,3415
10.04.2022,5586
11.04.2022,2232
12.04.2022,4638
13.04.2022,5402
14.04.2022,6557
15.04.2022,6602
16.04.2022,11400
17.04.2022,2447
18.04.2022,1619
19.04.2022,5084
20.04.2022,6136
21.04.2022,2391
22.04.2022,9569
23.04.2022,15866
24.04.2022,6232
25.04.2022,5305
26.04.2022,2400
27.04.2022,4843
28.04.2022,2162
29.04.2022,4388
30.04.2022,2473
1.05.2022,4686
2.05.2022,1364
3.05.2022,7863
4.05.2022,8956
5.05.2022,9944
6.05.2022,8539
7.05.2022,851
8.05.2022,644
9.05.2022,3459
10.05.2022,5619
11.05.2022,5323
12.05.2022,4129
13.05.2022,9750
14.05.2022,15066
15.05.2022,74
16.05.2022,2866
17.05.2022,3934
18.05.2022,1404
19.05.2022,2382
20.05.2022,11056
21.05.2022,8783
22.05.2022,5741
23.05.2022,1757
24.05.2022,3705
25.05.2022,2775
26.05.2022,171
27.05.2022,8527
28.05.2022,6376
29.05.2022,3810
30.05.2022,2745
31.05.2022,2460
1.06.2022,13182
2.06.2022,5426
3.06.2022,14430
4.06.2022,8027
5.06.2022,7337
6.06.2022,8345
7.06.2022,10655
8.06.2022,8446
9.06.2022,7285
10.06.2022,6631
11.06.2022,3182
12.06.2022,10
13.06.2022,4575
14.06.2022,5131
15.06.2022,4754
